org.apache.http.client.protocol.RequestAddCookies 2018-01-04 21:22:54,179 org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122) CookieSpec selected: default 
org.apache.http.client.protocol.RequestAuthCache 2018-01-04 21:22:54,206 org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:76) Auth cache not set in the context 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:22:54,206 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection(PoolingHttpClientConnectionManager.java:249) Connection request: [route: {}->http://localhost:20174][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000] 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:22:54,231 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection(PoolingHttpClientConnectionManager.java:282) Connection leased: [id: 0][route: {}->http://localhost:20174][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000] 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:54,247 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:234) Opening connection {}->http://localhost:20174 
org.apache.http.impl.conn.DefaultHttpClientConnectionOperator 2018-01-04 21:22:54,247 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:131) Connecting to localhost/127.0.0.1:20174 
org.apache.http.impl.conn.DefaultHttpClientConnectionOperator 2018-01-04 21:22:54,247 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:138) Connection established 127.0.0.1:62000<->127.0.0.1:20174 
org.apache.http.impl.conn.DefaultManagedHttpClientConnection 2018-01-04 21:22:54,247 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.setSocketTimeout(LoggingManagedHttpClientConnection.java:90) http-outgoing-0: set socket timeout to 10800000 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:54,247 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:255) Executing request POST /session HTTP/1.1 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:54,247 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:260) Target auth state: UNCHALLENGED 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:54,247 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:266) Proxy auth state: UNCHALLENGED 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:135) http-outgoing-0 >> POST /session HTTP/1.1 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Content-Type: application/json; charset=utf-8 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Content-Length: 122 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Host: localhost:20174 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Connection: Keep-Alive 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_91) 
org.apache.http.headers 2018-01-04 21:22:54,263 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-0 >> Accept-Encoding: gzip,deflate 
org.apache.http.wire 2018-01-04 21:22:54,263 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "POST /session HTTP/1.1[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:54,263 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]" 
